ID;Geburtstag;Email_Addresse;Ansprechpartner (Vorname);Insurance;Letzter Rechnungsbetrag (€);Ansprechpartner (Nachname);Ansprechpartner;Ansprechpartner (Telefon);private_insurance
1000027;1990-05-07;Wilharm@AIRBS_SA.S..de;Petra;AOK;636,42;Wilharm;1000027;+49 40 5076 2331;0
1000028;1987-04-11;Zintzen@Aixton_AGde;Bernhard;AOK;170,93;Zintzen;1000028;+49 (241) 8909 3772;0
1000029;1949-06-08;Schapdick@Aixton_AGde;Ralf;AOK;116,33;Schapdick;1000029;+49 241 8909 428;0
1000030;1950-10-13;Beckmann@Allinz_Global_Investorsde;Joerg;AOK;136,99;Beckmann;1000030;+49 (69) 263 14659;0
1000031;1965-09-25;U. Berquet@Amwa_GmbHde;Matthias;AOK;492;U. Berquet;1000031;+49 89 80094 133;0
1000032;1978-02-17;Lachermeier-Seifert@Amwa_GmbHde;Michael;AOK;212,69;Lachermeier-Seifert;1000032;+49 89 80094 511;0
1000033;1950-12-09;Steinfartz@anyWRE_AGde;Michael;AOK;939,33;Steinfartz;1000033;+49 6131 965 9650;0
1000034;1995-10-02;Volkmar@Bundsagentur_für_Arbeitde;Matthias;AOK;497,98;Volkmar;1000034;+49 991 179 2975;0
1000035;1965-06-17;Hüttner@ASM_S_(Siemens_AG)de;Stefan;AOK;349,38;Hüttner;1000035;+49 (89) 20800-43473;0
1000036;1975-10-01;Dräger@AstrZeneca_GmbHde;Marco;AOK;769,85;Dräger;1000036;+49 (4103) 708-3901;0
1000037;1989-09-24;Röpke@AstrZeneca_GmbHde;Michael;AOK;361,67;Röpke;1000037;+49 (4103) 708-3105;0
1000038;1955-08-04;Piotrowski@AstrZeneca_GmbHde;Siegbert;AOK;817,28;Piotrowski;1000038;+49 (4103) 708-3103;0
1000039;1988-09-21;Tröger@AT-Dsignde;André;AOK;343,42;Tröger;1000039;+49 911 3400 450;0
1000040;1976-10-01;Ruge@ATOS_Software_AGde;Matthias;AOK;994,22;Ruge;1000040;+49 (89) 42771 195;0
1000041;1952-04-14;Krüger@AudiAGde;Claus;AOK;895,52;Krüger;1000041;+49 (841) 89 90900;0
1000042;1981-03-17;Schuderer@AudiAGde;Gerhard;AOK;88,96;Schuderer;1000042;+49 (841) 89 45101;0
1000043;1961-12-18;Schneider@AudiAGde;Hubert;AOK;195,13;Schneider;1000043;+49 (841) 8935712;0
1000044;1964-06-08;Schäffler@AudiAGde;Stephan;AOK;106,27;Schäffler;1000044;+49 (841) 89-45801;0
1000045;1964-07-24;Bernet@AXA_interthurde;Urs;AOK;256,34;Bernet;1000045;+41 (52) 261 43 38;0
1000046;1993-11-03;Scholz@B_Braun_Melsungen_AG.de;David;AOK;299,68;Scholz;1000046;+49 56 61 71-1173;0
1000047;1994-03-19;Schade@BAHA_AGde;Arno;AOK;786,03;Schade;1000047;+49 (621) 3905-680;0
1000048;1950-01-12;Salewski@BASFIT_Services_GmbHde;Günter;AOK;638,26;Salewski;1000048;#;0
1000049;1983-10-14;Gehl@BASFIT_Services_GmbHde;Martin;AOK;633,28;Gehl;1000049;+49 621 60-58616;0
1000050;1996-08-10;Tiedeke@Baumr_Electric_AGde;Joachim;AOK;312,3;Tiedeke;1000050;+41 (52) 728 13 66;0
1000051;1997-05-07;Döring@Baumr_Optronic_GmbHde;Andreas;AOK;401,95;Döring;1000051;+49 3528 4386 31;0
1000052;1949-12-18;Seiffert@Baxtr_Deutschland_GmbHde;Carsten;AOK;844,53;Seiffert;1000052;+49 89 31701-467;0
1000053;1983-10-24;Strigl@Bayeisches_Landesamt_für_Statistikde;Herbert;AOK;355,41;Strigl;1000053;+49 (89) 2119-316;0
1000054;1971-04-15;Schönfeld@Bayeisches_Landesamt_für_Statistikde;Kurt;AOK;900,57;Schönfeld;1000054;+49 (89) 2119-647;0
1000055;1971-02-23;Ellermann@Beiesdorf_AGde;Uwe;AOK;297,52;Ellermann;1000055;+49 (40) 49090;0
1000056;1953-07-25;Burmeister@Berln_Institute_of_Technologyde;Rodger;AOK;795,58;Burmeister;1000056;+49 30 314 73286;0
1000057;1948-07-21;Prox@Berlner_Verkehrsbetriebe_(BVG)de;Carsten;AOK;895,82;Prox;1000057;+49 (30) 256-28418;0
1000058;1972-01-17;Stoffels@Berlner_Verkehrsbetriebe_(BVG)de;Ralf;AOK;34,66;Stoffels;1000058;+49 (30) 256-28422;0
1000059;1956-12-16;Seifert@Bertandt_Services_GmbHde;Falk;AOK;153,12;Seifert;1000059;+49 (6134) 2566-701;0
1000060;1953-02-18;Smischek@BetaSystems_Software_AGde;Gerhard;AOK;97,37;Smischek;1000060;+49 (821) 7941 308;0
1000061;1964-01-21;Schindler@BetaSystems_Software_AGde;Volker;AOK;688,18;Schindler;1000061;+49 (821) 7941 406;0
1000062;1980-08-20;Paffrath@Bewoec_GmbHde;Hans-Jörg;AOK;235,82;Paffrath;1000062;+49 2205 89 64 181;0
1000063;1948-09-10;Bronninger@BMW_Gde;Robert;AOK;294,98;Bronninger;1000063;+49 89 382 58869;0
1000064;1991-01-10;Quassowski@BMW_Gde;Sven;AOK;128,43;Quassowski;1000064;+49 (89) 382 37987;0
1000065;1981-12-19;Teichmann@BRANAD_Systems_AGde;Bodo;AOK;4,11;Teichmann;1000065;+49 911 756658-26;0
1000066;1989-11-24;Lewerenz@Branenburgische_Technische_Universitätde;Claus;AOK;631,24;Lewerenz;1000066;+49 (355) 69-3880;0
1000067;1977-07-03;Sarnowski@BROCHAUS_AGde;Mike;AOK;19,31;Sarnowski;1000067;+49 (231) 9875-0;0
1000068;1964-11-26;Petermann@Brukr_Optik_GmbHde;Werner;AOK;574,43;Petermann;1000068;+49 7243 504-854;0
1000069;1991-10-13;Holtzmann@BSS_eiersdorf_Shared_Services_GmbHde;Hans-Joachim;AOK;930,18;Holtzmann;1000069;+49 (40) 4909 3788;0
1000070;1961-09-09;Meissl@BT_(ermany)_GmbH_&_Co_oHG.de;Sigi;AOK;562,29;Meissl;1000070;+49 (89) 2600 8188;0
1000071;1949-07-14;Winkelhöfer@Bundsdruckereide;Jörg;AOK;222,47;Winkelhöfer;1000071;+49 3025982590;0
1000073;1965-03-22;Pletat@Bundsministerium_für_Gesundheitde;Heiko;AOK;360,11;Pletat;1000073;+49 (30) 18441 3753;0
1000074;1983-08-25;Bach@BVG__Anstalt_öffentlichen_Rechtsde;Kai;AOK;253,06;Bach;1000074;+49 (30) 256 20217;0
1000075;1962-04-06;Pörschke@BVV_G..de;Frank;AOK;598,04;Pörschke;1000075;+49 (30) 89601 450;0
1000076;1971-04-15;Endres@Cassni_Consulting_Frankfurt_GmbHde;Thomas;AOK;772,23;Endres;1000076;#;0
1000077;1990-11-09;Hatebur@CATde;Helmut;AOK;773,21;Hatebur;1000077;+49 (5361) 9-71067;0
1000078;1980-10-14;W. Luellemann@CATde;Solms;AOK;140,4;W. Luellemann;1000078;+49 5116740514;0
1000079;1996-09-03;Lips@ciroec_GmbHde;Peter;AOK;495,25;Lips;1000079;+49 (7131) 59455-61;0
1000080;1977-06-12;Ruch@CocaCola_CCEAGde;Mattias;AOK;170,71;Ruch;1000080;+49 (30) 9204-1564;0
1000081;1982-10-25;Podebrad@Commrzbank_AGde;Igor;AOK;662,57;Podebrad;1000081;+49 (69) 136 40630;0
1000082;1957-12-25;Witte@concptq_GmbHde;Kai;AOK;698,75;Witte;1000082;+49 (5361) 6096100;0
1000083;1995-08-19;Lindner@Contnental_VDO_Automotivede;Oliver;AOK;677,64;Lindner;1000083;+49 941-790 8286;0
1000084;1998-03-17;Tursch@Condto_GmbHde;Sabine;AOK;277,6;Tursch;1000084;+49 (30) 8020875 15;0
1000085;1949-09-29;Benner@Contnental_Teves_AG_&_Co_oHG.de;Sebastian;AOK;960,51;Benner;1000085;+49 69 7603 8685;0
1000086;1984-02-23;Kolodziejczak@Contnental_Automotive_Systems_Electricde;Zenon;AOK;912,4;Kolodziejczak;1000086;+49 (30) 34008-693;0
1000087;1952-11-16;Oehlen@ConVsta_Consulting_AGde;Bernd;AOK;794,57;Oehlen;1000087;+49 (221) 88826-417;0
1000088;1994-12-05;Kemper@ConVsta_Consulting_AGde;Helmut;AOK;809,92;Kemper;1000088;+49 (221) 888 26-449;0
1000089;1998-09-29;Heimbach@Coopr_Standard_Automotivede;Bernd;AOK;175,82;Heimbach;1000089;+49 7394 242-308;0
1000090;1949-04-06;Findeisen@Copeion_Werner_&_Pfleidererde;Hans-Juergen;AOK;839,25;Findeisen;1000090;+49 (711) 897-2418;0
1000091;1952-04-26;Burkhardt@Copeion_Werner_&_Pfleidererde;Sigurd;AOK;418,41;Burkhardt;1000091;#;0
1000092;1969-05-07;Willig@Critcal_Systemsde;Christian;AOK;356,56;Willig;1000092;+49 621 4546-565;0
1000093;1988-11-30;Bornheim@Cros_Match_Technologies_GmbHde;Roland;AOK;8,94;Bornheim;1000093;+49 3641 4297-22;0
1000094;1971-11-16;Rodrigo@Csecre_AGde;Dipl. -Ing. Paul E.;AOK;299,23;Rodrigo;1000094;+49 221-3 980455;0
1000096;1982-07-16;Krieger@Daimer_Financial_Services_AGde;Armin;AOK;691,95;Krieger;1000096;+49 711 25745738;0
1000097;1982-07-13;Leutnant@Daimer_AGde;Christian;AOK;589,17;Leutnant;1000097;+49 70319087757;0
1000098;1966-10-30;Heger@Daimer_AGde;Christoph;AOK;653,7;Heger;1000098;#;0
1000099;1972-12-02;Dombrowski@Daimer_AGde;Dirk;AOK;894,62;Dombrowski;1000099;#;0
1000100;1965-11-29;Hüttel@Daimer_AGde;Heiko;AOK;382,88;Hüttel;1000100;+49 7111770213;0
1000101;1993-03-12;Burchardt@Daimer_AGde;Jan;AOK;595,22;Burchardt;1000101;#;0
1000102;1988-10-03;Boll@Daimer_AGde;Matthias;AOK;451,49;Boll;1000102;+49 70319074681;0
1000103;1986-06-13;Jung@Daimer_AGde;Matthias;AOK;757,04;Jung;1000103;+49 7111796188;0
1000104;1951-05-06;Huettenberger@Daimer_AGde;Michael;AOK;396,91;Huettenberger;1000104;+49 7111749042;0
1000105;1954-03-17;Biber@Daimer_AGde;Sascha;AOK;806,89;Biber;1000105;#;0
1000106;1971-07-25;Stumböck@Daimer_AGde;Thomas;AOK;651,65;Stumböck;1000106;+49 70319071853;0
1000107;1990-06-23;Bangel@DB_Sstel_GmbHde;Michael;AOK;109,32;Bangel;1000107;+49 (69) 26552736;0
1000108;1966-01-07;Mairose@DB_Vrtrieb_GmbHde;Stefan;AOK;892,81;Mairose;1000108;+49 69 265 40914;0
1000109;1992-07-21;Rappold@DB_Vrtrieb_GmbHde;Torsten;AOK;327,78;Rappold;1000109;+49 (69) 265-40910;0
1000110;1974-11-30;Herold@Deutche_Bahn_AGde;Natalya;AOK;20,63;Herold;1000110;+49 6926552514;0
1000111;1976-11-19;Brunow@Deutche_Bahn_AGde;Peter;AOK;422,24;Brunow;1000111;+49 3029756646;0
1000112;1980-10-05;Schön@Deutche_Bank_AGde;Michael;AOK;2,99;Schön;1000112;+49 69 910 66357;0
1000113;1968-12-19;Pazelt@Deutche_Rentenversicherung_Bundde;Michael;AOK;732,76;Pazelt;1000113;+49 (30) 865 60901;0
1000114;1980-08-04;Herrmann@Deutche_Rentenversicherung_Bundde;Tom;AOK;527,06;Herrmann;1000114;+49 (30) 865 35704;0
1000115;1991-05-01;Böttcher@Deutches_Patent-_und_Markenamtde;Robert;AOK;392,91;Böttcher;1000115;+49 (36 41) 40-57 70;0
1000116;1997-04-04;Römer@DFS_eutsche_Flugsicherung_GmbHde;Angelika;AOK;110,74;Römer;1000116;+49 3074306150;0
1000117;1997-02-25;Ludwig@DHC_r_Herterich_&_Consutants_GmbH.de;Doris;AOK;569,8;Ludwig;1000117;+49 681 936660;0
1000118;1982-11-18;Troupeau@DHL_lobal_Forwarding_UKde;Pascal;AOK;155,02;Troupeau;1000118;+44 (1344) 744282;0
1000119;1956-05-24;Schaser@DHL_ub_Leipzig_GmbHde;Andreas;AOK;210,33;Schaser;1000119;+49 341 4499 6600;0
1000120;1956-10-13;Schramm@Dila_Intelcom_GmbHde;Uwe;AOK;680,75;Schramm;1000120;+49 (30) 773092-540;0
1000121;1955-12-03;Vorbrodt@DIN_V..de;Moritz;AOK;493,35;Vorbrodt;1000121;+49 3026012649;0
1000122;1955-04-01;Neske@discunt24_GmbH_&_Co_KG.de;Benjamin;AOK;758,47;Neske;1000122;+49 40650625408;0
1000123;1970-09-14;Lungwitz@DKB_rundbesitzvermittlung_GmbHde;Jessica;AOK;206,39;Lungwitz;1000123;+49 341 711 71 256;0
1000124;1972-10-10;Brückner@dicoium_digital_solutions_GmbHde;Christian;AOK;398,22;Brückner;1000124;+49 (711) 601747-397;0
1000125;1956-07-11;Elsässer@dicoium_digital_solutions_GmbHde;Daniel;AOK;135,78;Elsässer;1000125;#;0
1000126;1966-11-08;Nolte@dSPAE_GmbHde;Bernhard;AOK;731,25;Nolte;1000126;+49 5251 1638-1580;0
1000127;1955-05-08;Schuengel@Eart_Television_Technology_GmbHde;Ralf;AOK;677,94;Schuengel;1000127;+49 89 208 06-850;0
1000128;1954-03-23;Wasserer-Foerg@edco_Software_&_Consulting_GmbHde;Anneliese;AOK;327,02;Wasserer-Foerg;1000128;+49 (89) 38408569;0
1000129;1953-06-18;Wodrich@ElanComputing_(Deutschland)_GmbHde;Jens;AOK;117,84;Wodrich;1000129;+49 40 63 60 75 25;0
1000130;1952-10-15;Zeiner@Elekroschaltanlagen_Grimma_GmbHde;Ulrich;AOK;977,02;Zeiner;1000130;+49 (3437) 92 11-166;0
1000131;1961-10-16;Mockel@EnBWSysteme_Infrastruktur_Supportde;Frederic;AOK;69,05;Mockel;1000131;+49 (7 21) 63 12484;0
1000132;1974-10-17;Fedkte@Enge_&_Völkersde;Alexander;AOK;295,53;Fedkte;1000132;+49 (40) 3 61 31-3 10;0
1000133;1948-07-05;Billens@ERGOVersicherungde;Armin;AOK;615,47;Billens;1000133;+49 211 4775116;0
1000134;1993-08-09;Bültner@Ericson_Telekommunikationde;Björn;AOK;422,8;Bültner;1000134;#;0
1000135;1995-10-18;Lifka@Ericson_Telekommunikationde;Britta;AOK;114,3;Lifka;1000135;#;0
1000136;1985-06-14;Amberg@Ericson_Telekommunikationde;Caroline;AOK;98,03;Amberg;1000136;+49 69 2383-3061;0
1000137;1964-04-28;Witting@Ericson_Telekommunikationde;Martin;AOK;967,09;Witting;1000137;#;0
1000138;1966-07-16;Fornhoff@Ericson_Telekommunikationde;Oliver;AOK;252,8;Fornhoff;1000138;#;0
1000140;1956-06-21;Alchimov@Ericson_Telekommunikationde;Sergej;AOK;65,93;Alchimov;1000140;#;0
1000141;1987-03-18;Adler@Ericson_Telekommunikationde;Thomas;AOK;320,73;Adler;1000141;#;0
1000142;1972-03-31;Sievers@eSaiors_IT_Solutions_GmbHde;Marco;AOK;282,74;Sievers;1000142;+49 40 8090503-359;0
1000143;1989-07-06;Benfeldt@Eule_Hermes_Kreditversicherungs-AGde;Jonny;AOK;315,87;Benfeldt;1000143;+49 (40) 8834-1985;0
1000144;1987-06-20;Hessberger@Faurcia_-_GIS_-_IT_Infrastrucde;Ralf;AOK;393,63;Hessberger;1000144;#;0
1000145;1968-02-01;Bork@Fest_AG_&_CoKG.de;Tilmann;AOK;923,53;Bork;1000145;+49 (30) 56702026;0
1000146;1992-05-05;Gebhardt@FH_Achende;Anderas;AOK;399,91;Gebhardt;1000146;+49 241 6009 52918;0
1000147;1960-10-01;Schlingloff@FhG-IRSTde;Bernd-Holger;AOK;177,92;Schlingloff;1000147;+49 (30) 6392 1907;0
1000148;1993-05-21;Taphorn@Finazinformatik_Hannoverde;Franz-Josef;AOK;253,41;Taphorn;1000148;+49 (511) 5102-21691;0
1000149;1969-12-08;Heidemann@Finazinformatik_Hannoverde;Marc;AOK;721,23;Heidemann;1000149;+49 (511) 5102-2 23 51;0
1000150;1971-07-30;Fladrich@Fladich_Consultingde;Gerd;AOK;136,23;Fladrich;1000150;+49 8121 7 37 11;0
1000151;1988-11-23;von Stackelberg@Fortfy_ASCde;Arved;AOK;67,78;von Stackelberg;1000151;+49 8122 999443;0
1000152;1981-09-09;Bustani@FourIn.One_Network.de;Euphemia;AOK;586,54;Bustani;1000152;+49 (511) 64 66 79 70;0
1000153;1980-03-02;Meyer@Fox_obile_Groupde;Bernd;AOK;503,12;Meyer;1000153;#;0
1000154;1993-08-18;Grundmann@Fox_obile_Groupde;Felix;AOK;454,95;Grundmann;1000154;+49 (30) 69538 5624;0
1000155;1967-01-27;Nicklisch@Fox_obile_Groupde;Jan;AOK;519,66;Nicklisch;1000155;+49 (30) 69538 1148;0
1000156;1957-08-26;Shi@FP_IovoLabs_GmbHde;Christoph;AOK;313,77;Shi;1000156;+49 (3303) 525 357;0
1000157;1979-09-10;Bleumer@Franotyp-Postalia_GmbHde;Gerrit;AOK;80,44;Bleumer;1000157;+49 3303 525-683;0
1000158;1974-04-21;Großmann@Frauhofer_FOKUSde;Jürgen;AOK;292,23;Großmann;1000158;+49 (30) 3463-7390;0
1000159;1979-01-26;Burghardt@Frauhofer_Institut_Firstde;Jochen;AOK;559,19;Burghardt;1000159;+49 (30) 6392-1867;0
1000160;1988-07-17;Fischer@Fresnius_Netcare_GmbHde;Dirk;AOK;598,42;Fischer;1000160;+49 6172 608-5507;0
1000161;1993-12-26;Freund@FREUD-ITde;Hans-Peter;AOK;954,35;Freund;1000161;+49 8232 71683;0
1000162;1977-12-15;Binderbauer@G_&__Bankensoftware_AGde;Christian;AOK;577,34;Binderbauer;1000162;+49 30-884 59 10;0
1000163;1968-08-22;Bleil@G_&__Bankensoftware_AGde;Rainer;AOK;811,05;Bleil;1000163;+49 (30) 884591-20;0
1000164;1977-02-04;Hertlein@G_&__Bankensoftware_AGde;Steffen;AOK;662,03;Hertlein;1000164;+49 30-884 59 10;0
1000165;1993-05-25;Franz@G_Muth_Partners_GmbH.de;Klaus;AOK;411;Franz;1000165;+49 6122 5981-0;0
1000166;1962-11-23;Günther@GABOmbH_&_Co_KG.de;Andreas;AOK;47,29;Günther;1000166;+49 89 785 90-37;0
1000167;1971-09-06;Heine@GAI_etConsult_GmbHde;Stefan;AOK;638,16;Heine;1000167;+49 30417898201;0
1000168;1966-06-03;Netzband@GISAGmbHde;Michael;AOK;6,9;Netzband;1000168;+49 345 585-0;0
1000169;1980-07-11;Kohler@Googe_Enterprise_EMEAde;Lutz;AOK;54,03;Kohler;1000169;+49 89 839309114;0
1000170;1977-03-08;Cichonczyk@ewocn_Advisory_GmbHde;Alexander;AOK;797,52;Cichonczyk;1000170;+49 (711) 901118-13;0
1000171;1968-01-15;Mollin@ewocn_Advisory_GmbHde;Tobias Marc-Oliver;AOK;361,11;Mollin;1000171;+49 (711) 901118-13;0
1000173;1966-05-02;Hasse@GS_Sftware_AGde;Ingo;AOK;992,27;Hasse;1000173;+49 (231) 975077 0;0
1000174;1970-09-27;Nümann@H&D_nternational_Groupde;Dennis;AOK;664,37;Nümann;1000174;+49 30 5371 960-0;0
1000175;1960-11-10;Tabert@H&T_reenline_GmbHde;Jürgen;AOK;268,51;Tabert;1000175;+49 3309337891;0
1000176;1956-06-06;Panckow@Hambrger_Pensionsverwaltung_eGde;J.;AOK;512,25;Panckow;1000176;+49 40 280 145 601;0
1000177;1950-03-14;Böhlen@Hauf-Lexware_Real_Estate_AGde;Anna;AOK;690,72;Böhlen;1000177;+49 49 5207 9142-0;0
1000178;1954-08-26;Meurer@Hauf-Lexware_Real_Estate_AGde;Volker;AOK;608,66;Meurer;1000178;+49 5207 9142-60;0
1000179;1962-06-17;Alsbih@Hauf-Lexware_GmbH_&_Co_KG.de;Amir;AOK;58,1;Alsbih;1000179;+49 761 8985-011;0
1000180;1951-09-01;Paulsen@Hauf-Lexware_GmbH_&_Co_KG.de;Andreas;AOK;209,29;Paulsen;1000180;+49 761 8985345;0
1000181;1957-10-31;Gebhardt@Hauf-Lexware_GmbH_&_Co_KG.de;Ebeling;AOK;36,53;Gebhardt;1000181;+49 (761) 898 5383;0
1000182;1977-06-21;Spiegel@Hauf-Lexware_GmbH_&_Co_KG.de;Frank;AOK;819,82;Spiegel;1000182;+49 761 898 5115;0
1000183;1981-07-15;Krebs@Hauf-Lexware_GmbH_&_Co_KG.de;Johannes;AOK;546,75;Krebs;1000183;+49 761 8985666;0
1000184;1996-04-20;Lobreyer@Hauf-Lexware_GmbH_&_Co_KG.de;Markus;AOK;33,82;Lobreyer;1000184;+49 761 8985 839;0
1000185;1994-12-26;Bock@Hauf-Lexware_GmbH_&_Co_KG.de;Mathias;AOK;124,57;Bock;1000185;+49 761 898-5813;0
1000186;1956-04-02;Kienzler@Hauf-Lexware_GmbH_&_Co_KG.de;Michael;AOK;492,09;Kienzler;1000186;+49 761 898 3020;0
1000187;1976-02-26;Riesterer@Hauf-Lexware_GmbH_&_Co_KG.de;Rolf;AOK;17,87;Riesterer;1000187;#;0
1000188;1985-12-18;Rymkuß@Hauf-Lexware_GmbH_&_Co_KG.de;Uwe;AOK;207,7;Rymkuß;1000188;+49 761 8985-117;0
1000189;1994-09-03;Banach@HDI-erling_Sach_Serviceholding_AGde;Christiane;AOK;99,71;Banach;1000189;+49 (511) 645 4955;0
1000190;1962-05-28;Wille@HDI-erling_Sach_Serviceholding_AGde;Torsten;AOK;521,09;Wille;1000190;+49 (511) 645 1833;0
1000191;1987-05-19;Volkmer@Heidlberger_Lebensversicherung_AGde;Eberhard;AOK;552,4;Volkmer;1000191;+49 (6221) 8722183;0
1000192;1977-01-15;Panzer@Heidlberger_Lebensversicherung_AGde;Oliver;AOK;856,15;Panzer;1000192;+49 (6221) 8722034;0
1000193;1953-05-18;Philipp@Heidlberger_Lebensversicherung_AGde;Peter;AOK;633,89;Philipp;1000193;+49 (6221) 872000;0
1000194;1959-07-19;Brüwer@Hellann_Worldwide_Logisticsde;J.;AOK;52,89;Brüwer;1000194;+49 541 6051718;0
1000195;1981-05-15;Hinrichs@Hellann_Worldwide_Logisticsde;Jens;AOK;731,81;Hinrichs;1000195;+49 541 6051848;0
1000196;1973-07-19;Ortner@Hewltt-Packard_Gesm.b.H..de;Christoph;AOK;337,29;Ortner;1000196;+43 (1) 81118-6328;0
1000197;1973-10-10;Korpitsch@Hewltt-Packard_Ltd.de;Christina Maria;AOK;276,95;Korpitsch;1000197;+44 (1344) 366 827;0
1000198;1981-12-16;Eitel@Hewltt-Packard_Ltd.de;Jeffrey;AOK;636,54;Eitel;1000198;+41 (44) 200 4140;0
1000199;1949-08-03;Püst@HHLAHamburger_Hafen_und_Logistik_AGde;Jasmin;AOK;444;Püst;1000199;+49 (40) 3088 3743;0
1000200;1988-05-17;Kazakova-Frehse@HHLAHamburger_Hafen_und_Logistik_AGde;Naire;AOK;773,31;Kazakova-Frehse;1000200;+49 (40) 30883426;0
1000201;1993-10-16;Meyer@HHLAHamburger_Hafen_und_Logistik_AGde;Thorsten;AOK;755,33;Meyer;1000201;+49 (40) 30883371;0
1000202;1992-08-13;Haug@HOTE_RESERVATION_SERVICEde;Christian;AOK;542,74;Haug;1000202;+49 221 2077 2590;0
1000203;1992-12-12;Behrschmidt@HOTE_RESERVATION_SERVICEde;Katja;AOK;618,71;Behrschmidt;1000203;+49 221 2077-3450;0
1000204;1979-05-19;Haelsig@HOTE_RESERVATION_SERVICEde;Michael;AOK;578,48;Haelsig;1000204;#;0
1000205;1961-11-30;Krüger@Hypoort_AGde;Michael;AOK;514,71;Krüger;1000205;+49 30420862200;0
1000206;1973-03-03;Mosch@UniCeditde;Alexander;AOK;754,74;Mosch;1000206;+49 89 378-29099;0
1000207;1967-05-02;Rueffler@ib-bnk-systems_GmbHde;Dieter;AOK;785,65;Rueffler;1000207;+49 331 7041-325;0
1000208;1959-04-26;Thorenz@IDC_entral_Europe_GmbHde;Lynn-Kristin;AOK;574,98;Thorenz;1000208;+49 69 90502-103;0
1000209;1978-09-14;Turk@Immoilien_Scout_GmbHde;Andreas;AOK;647,44;Turk;1000209;#;0
1000210;1996-03-07;Saller@Infieon_Technologies_AGde;Florian;AOK;213,75;Saller;1000210;+49 (941) 202 1804;0
1000212;1993-07-08;Cornu@Immoilien_Scout_GmbHde;Christopher;AOK;558,06;Cornu;1000212;+49 (30) 243 01-1257;0
1000213;1986-02-22;Koch@Immoilien_Scout_GmbHde;Heico;AOK;148,76;Koch;1000213;#;0
1000214;1976-12-16;Jähn@Immoilien_Scout_GmbHde;Katrin;AOK;246,44;Jähn;1000214;#;0
1000215;1950-01-09;Wasik@Immoilien_Scout_GmbHde;Michael;AOK;745,25;Wasik;1000215;+49 (30) 243 01-1252;0
1000216;1982-12-17;Weiss@Immoilien_Scout_GmbHde;Werner;AOK;230,54;Weiss;1000216;#;0
1000217;1984-09-20;Paulutz@Infomations_Technology_Engineeringde;Eugen;AOK;394,23;Paulutz;1000217;+49 (6021) 583406;0
1000218;1976-02-14;Amberg@ING-iBa_AGde;Anja;AOK;1,25;Amberg;1000218;+49 69 27 222 66760;0
1000219;1982-10-07;Markovic@ING-iBa_AGde;Ljubisav;AOK;508,93;Markovic;1000219;+49 (69) 27222 69106;0
1000220;1979-09-01;Lingenfelder@ING-iBa_AGde;Thomas;AOK;445,44;Lingenfelder;1000220;+49 69 27 222 66869;0
1000221;1976-06-29;Edler@InMeiasP_GmbHde;Andreas;AOK;74,24;Edler;1000221;+49 (3302) 559-420;0
1000222;1961-06-05;Koch@InMeiasP_GmbHde;Andreas;AOK;378,8;Koch;1000222;+49 (3302) 559-420;0
1000223;1978-10-13;Baumann@ins_onsulting_GmbHde;Markus;AOK;278,99;Baumann;1000223;+49 (6172) 9365 113;0
1000224;1948-09-20;Beushausen@InteComponentWare_AGde;Volker;AOK;920,14;Beushausen;1000224;+49 6227 385 559;0
1000225;1958-06-12;Barkowski@intenetcrewde;Robert;AOK;713,59;Barkowski;1000225;+49 (30) 6881838 61;0
